ano,mês,dia,subpref_sigla,subpref,lat,long,via,referencia,sentido,fonte,precipitacao
2018,1,30,SE,SE,-23.5330596,-46.6436103,,,,Defesa Civil,19.2
2018,1,30,SE,SE,-23.533997600000006,-46.64507840000001,,,,Defesa Civil,19.2
2018,1,10,SA,SANTO AMARO,-23.6437410910378,-46.701043371258656,,,,Defesa Civil,17.4
2018,3,30,VM,VILA MARIANA,-23.62211,-46.6489513,,,,Defesa Civil,22.8
2018,1,11,PE,PENHA,-23.539356123146398,-46.48424782696051,,,,Defesa Civil,17.8
2018,3,1,PE,PENHA,-23.539278250592304,-46.48297888254354,,,,Defesa Civil,5.7
2018,3,28,SA,SANTO AMARO,-23.6428568,-46.6988899,,,,Defesa Civil,12.0
2018,1,3,EM,ERMELINO MATARAZZO,-23.507144051598125,-46.47811660007799,,,,Defesa Civil,13.5
2018,3,27,PE,PENHA,-23.537918300000005,-46.4777201,,,,Defesa Civil,29.7
2018,3,31,EM,ERMELINO MATARAZZO,-23.522516799999995,-46.4753974,,,,Defesa Civil,9.4
2018,3,27,EM,ERMELINO MATARAZZO,-23.507044,-46.477838,,,,Defesa Civil,29.4
2018,3,27,EM,ERMELINO MATARAZZO,-23.537918300000005,-46.4777201,,,,Defesa Civil,29.4
2018,3,28,IP,IPIRANGA,-23.6109537,-46.5827664,,,,Defesa Civil,63.8
2018,3,20,VM,VILA MARIANA,-23.587713699999995,-46.6646937,,,,Defesa Civil,85.2
2018,4,3,PE,PENHA,-23.539356123146398,-46.48424782696051,,,,Defesa Civil,3.5
2018,1,10,SE,SE,-23.5862304,-46.6532104,,,,Defesa Civil,6.4
2018,1,10,SE,SE,-23.569241999999992,-46.6408951,,,,Defesa Civil,6.4
2018,1,10,SE,SE,-23.55171552753717,-46.63675565051927,,,,Defesa Civil,6.4
2018,1,10,SE,SE,-23.435021599999995,-46.5721077,,,,Defesa Civil,6.4
2018,2,26,VM,VILA MARIANA,-23.5515983,-46.6370713,,,,Defesa Civil,39.4
2018,3,20,SE,SE,-23.569241999999992,-46.6408951,,,,Defesa Civil,43.8
2018,2,26,VP,VILA PRUDENTE,-23.5515983,-46.6370713,,,,Defesa Civil,52.0
2018,2,26,SE,SE,-23.55171552753717,-46.63675565051927,,,,Defesa Civil,61.6
2018,3,28,SE,SE,-23.5515983,-46.6370713,,,,Defesa Civil,48.4
2018,3,28,SE,SE,-23.5515983,-46.6370713,,,,Defesa Civil,48.4
2018,3,27,VM,VILA MARIANA,-23.5862304,-46.6532104,,,,Defesa Civil,29.2
2018,3,28,VM,VILA MARIANA,-23.5515983,-46.6370713,,,,Defesa Civil,69.8
2018,3,30,VM,VILA MARIANA,-23.5862304,-46.6532104,,,,Defesa Civil,22.8
2018,10,17,SA,SANTO AMARO,-23.651518099999997,-46.7050228,,,,Defesa Civil,66.0
2018,1,30,SE,SE,-23.556404136810823,-46.6287693333159,,,,Defesa Civil,19.2
2018,2,26,MO,MOOCA,-23.5406231,-46.6127842,,,,Defesa Civil,54.2
2018,3,14,LA,LAPA,-23.5366979,-46.7195333,,,,Defesa Civil,24.8
2018,1,28,PE,PENHA,-23.53157209999999,-46.5212474,,,,Defesa Civil,11.4
2018,3,27,VM,VILA MARIANA,-23.587033600000005,-46.6642584,,,,Defesa Civil,29.2
2018,3,26,PI,PINHEIROS,-23.625542076032435,-46.69152581504218,,,,Defesa Civil,7.4
2018,1,4,PI,PINHEIROS,-23.55786100000001,-46.668091,,,,Defesa Civil,0.0
2018,3,20,VM,VILA MARIANA,-23.591643923524348,-46.66466339078521,,,,Defesa Civil,85.2
2018,3,27,VM,VILA MARIANA,-23.6019271,-46.6508505,,,,Defesa Civil,29.2
